no.	maxl2sqr
3000	0.010433881390680579	0:00:38.125226
3020	0.015923341603446765	0:00:38.027791
3040	0.019310257355251638	0:00:37.971301
3060	0.010295399576311698	0:00:37.973435
3080	0.013133610371420884	0:00:38.030518
3100	0.001179207135484941	0:00:38.119410
3120	0.0043492963048391425	0:00:38.094813
3140	0.005393407470233955	0:00:38.014726
3160	0.010993365238116103	0:00:38.022211
3180	0.015296666674750605	0:00:37.995909
3200	0.010818220120095328	0:00:38.056027
3220	0.0205661534647174	0:00:38.380727
3240	0.015788291675706334	0:00:38.719800
3260	0.012776477127356224	0:00:39.058786
3280	0.0031268521235104686	0:00:40.384154
3300	0.007550625949621969	0:00:39.471010
3320	0.02704933628480362	0:00:38.576303
3340	0.005258103227986027	0:00:38.025487
3360	0.004130628292049967	0:00:38.041016
3380	0.006509775874748604	0:00:38.009263
3400	0.008583645864899594	0:00:38.063471
3420	0.005002853188884505	0:00:38.086992
3440	0.00777455983342603	0:00:38.014853
3460	0.019488753532841546	0:00:38.011328
3480	0.004723380123868425	0:00:38.125826
3500	0.018601482625405917	0:00:38.044903
3520	0.021504322983999777	0:00:38.111247
3540	0.014674459622561697	0:00:38.023952
3560	0.016251442970266605	0:00:38.007249
3580	0.006052314938541251	0:00:38.028210
3600	0.009955960718829421	0:00:38.048903
3620	0.008977351917236746	0:00:38.119491
3640	0.0031218111033388635	0:00:38.060401
3660	0.0029221682642493483	0:00:38.079305
3680	0.005015956233643749	0:00:38.085427
3700	0.010921244236033033	0:00:38.037550
3720	0.004873379013061488	0:00:38.087351
3740	0.01322640536527961	0:00:38.080562
3760	0.015415081028647462	0:00:38.021717
3780	0.004999680671232989	0:00:38.063710
3800	0.018544606558120704	0:00:38.177761
3820	0.0054011914036025625	0:00:38.077111
3840	0.012504389279926602	0:00:38.065435
3860	0.013508457924056583	0:00:38.004307
3880	0.00765345785303872	0:00:38.032089
3900	0.009021395092673593	0:00:38.126456
3920	0.013006410754394522	0:00:38.069495
3940	0.012356678967904287	0:00:38.087991
3960	0.006368352838216061	0:00:38.025548
3980	0.017326012758527354	0:00:38.004158
8000	0.010577176296480592	0:00:37.966848
8020	0.005008535222585087	0:00:37.973135
8040	0.008201636933137567	0:00:38.009416
8060	0.008506471789667588	0:00:37.967126
8080	0.0034348528478493163	0:00:37.916917
8100	0.01275107381251014	0:00:38.064482
8120	0.015860739561214005	0:00:38.087232
8140	0.004784103257071546	0:00:37.947087
8160	0.015497732193193682	0:00:37.890057
8180	0.004129392523963755	0:00:37.984810
8200	0.009779814548395754	0:00:37.953970
8220	0.009286109331183363	0:00:38.277300
8240	0.011824721553329587	0:00:38.561145
8260	0.01624747542853973	0:00:39.048561
8280	0.012721503199642617	0:00:40.202457
8300	0.008832027509152978	0:00:39.513141
8320	0.006138536885746303	0:00:38.554646
8340	0.007680815396954538	0:00:38.045398
8360	0.01066776936737453	0:00:37.972349
8380	0.021026789481995125	0:00:37.976119
8400	0.0048235601351283965	0:00:38.030257
8420	0.010322942660787326	0:00:37.997335
8440	0.010205274904314467	0:00:38.053723
8460	0.0036400361282593777	0:00:37.954485
8480	0.004788706939709746	0:00:38.005328
8500	0.004104920424977175	0:00:38.024608
8520	0.016664816508192824	0:00:37.999130
8540	0.0036972403762845886	0:00:38.044446
8560	0.012532752840830637	0:00:37.971340
8580	0.01754954310267737	0:00:38.008368
8600	0.009437856359950777	0:00:38.001863
8620	0.011640052160568966	0:00:38.029477
8640	0.02147814750364929	0:00:37.985031
8660	0.013569350585534842	0:00:37.978835
8680	0.016733113537852784	0:00:37.992477
8700	0.007804659926887772	0:00:37.972502
8720	0.003274463196588885	0:00:37.983066
8740	0.006866441881620268	0:00:37.966823
8760	0.015012372278714919	0:00:37.995878
8780	0.0012749914851922443	0:00:38.013264
8800	0.004389595268011988	0:00:37.990288
8820	0.011911520023140281	0:00:37.991336
8840	0.00758602018774773	0:00:38.020885
8860	0.008075931467151737	0:00:38.032525
8880	0.00954676581184637	0:00:37.991557
8900	0.008228075230276017	0:00:37.968897
8920	0.007440614009384576	0:00:37.979967
8940	0.0249326685695401	0:00:38.043333
8960	0.001147843232984514	0:00:37.949319
8980	0.012408768173704399	0:00:37.966048
1000	0.01220280653761608	0:00:38.481762
1020	0.02157969539543597	0:00:38.473393
1040	0.013223576009839708	0:00:38.459937
1060	0.015436303942764792	0:00:38.535240
1080	0.021133956797707888	0:00:38.441345
1100	0.0118221811234362	0:00:38.502891
1120	0.008227483749845707	0:00:38.513937
1140	0.003598901210337439	0:00:38.492568
1160	0.011287575694582611	0:00:38.417521
1180	0.007799338743200331	0:00:38.505128
1200	0.013044652388664972	0:00:38.436161
1220	0.006653922733402231	0:00:38.777951
1240	0.003137044660145211	0:00:38.828296
1260	0.018386917959414918	0:00:39.353405
1280	0.013346502451459966	0:00:40.574265
1300	0.0006182377203143918	0:00:39.484717
1320	0.006279770687108091	0:00:38.538179
1340	0.01649065849330475	0:00:38.145363
1360	0.012848878263395796	0:00:38.217614
1380	0.0070660365422885885	0:00:38.059174
1400	0.003523404157430958	0:00:38.192813
1420	0.010118784964555538	0:00:38.115746
1440	0.005122846047411255	0:00:38.111821
1460	0.016470256917413016	0:00:38.115562
1480	0.024162358480215272	0:00:38.122907
1500	0.0165635157839102	0:00:38.192159
1520	0.005550594363059699	0:00:38.117249
1540	0.00950703890457857	0:00:38.116277
1560	0.021616060992934928	0:00:38.122847
1580	0.013241865805538558	0:00:38.185484
1600	0.0078052816890907435	0:00:38.219019
1620	0.013037351962272355	0:00:38.094485
1640	0.029755953476856153	0:00:38.231020
1660	0.012084866719903145	0:00:38.088377
1680	0.004333653925785852	0:00:38.225282
1700	0.008680686943163627	0:00:38.156168
1720	0.010664684178531078	0:00:38.247705
1740	0.021729330431704212	0:00:38.126730
1760	0.005414809662805366	0:00:38.243688
1780	0.010619015516905394	0:00:38.152869
1800	0.006401034586246865	0:00:38.105614
1820	0.020047688395834713	0:00:38.161508
1840	0.008975239295353704	0:00:38.145693
1860	0.02068059920045382	0:00:38.153223
1880	0.013498213393755738	0:00:38.141588
1900	0.005423538448031644	0:00:38.104772
1920	0.00950566684605562	0:00:38.176534
1940	0.010588867693139723	0:00:38.258991
1960	0.014078283152986332	0:00:38.241200
1980	0.017307563803575517	0:00:38.161117
0	0.011596350130588032	0:00:38.213728
20	0.016185771222871702	0:00:38.183522
40	0.01780461385296769	0:00:38.115094
60	0.012234426647995872	0:00:38.069336
80	0.006303380178065503	0:00:38.167741
100	0.00475441116238957	0:00:38.261774
120	0.00580878598484969	0:00:38.221581
140	0.0059725494147743	0:00:38.136019
160	0.007939480895149611	0:00:38.189870
180	0.015588943814978882	0:00:38.120772
200	0.012436962634772331	0:00:38.134995
220	0.012282953117512464	0:00:38.599975
240	0.013727082312647382	0:00:38.925932
260	0.016967050519173577	0:00:39.502164
280	0.018417026549881036	0:00:40.502831
300	0.013051269382118251	0:00:39.632878
320	0.00414319129046214	0:00:38.711293
340	0.013267979528743793	0:00:38.123913
360	0.007295011340695985	0:00:38.189161
380	0.010325006901617317	0:00:38.166632
400	0.018733788003237935	0:00:38.085565
420	0.0033334914408356415	0:00:38.225754
440	0.015317645167841155	0:00:38.135675
460	0.014889402595636224	0:00:38.159066
480	0.015589840505555981	0:00:38.189304
500	0.013768014925313713	0:00:38.261407
520	0.013065114021827954	0:00:38.155622
540	0.020431488134515757	0:00:38.170218
560	0.010443194466422985	0:00:38.126147
580	0.005451230636675153	0:00:38.248337
600	0.012994616508142535	0:00:38.196377
620	0.00924966162514819	0:00:38.190026
640	0.0058931947844681615	0:00:38.226808
660	0.011454344273338371	0:00:38.190580
680	0.013791778420871913	0:00:38.244177
700	0.014704990546816666	0:00:38.168080
720	0.007490868835554163	0:00:38.229765
740	0.014150075910740217	0:00:38.103415
760	0.01745435763356238	0:00:38.102228
780	0.020338777762758355	0:00:38.240344
800	0.01204830812757596	0:00:38.200512
820	0.0110493811460972	0:00:38.209443
840	0.01804856326814942	0:00:38.160756
860	0.0035710982779641374	0:00:38.062312
880	0.00448186192017042	0:00:38.160246
900	0.0032332365611944746	0:00:38.103048
920	0.011538532471768755	0:00:38.111382
940	0.023775972184946453	0:00:38.152925
960	0.020087682862564116	0:00:38.135015
980	0.0031962461557388426	0:00:38.187333
7000	0.003880603797153345	0:00:37.966073
7020	0.021709608957147433	0:00:38.014506
7040	0.006960885803174773	0:00:38.000402
7060	0.007357137098363916	0:00:37.964995
7080	0.003957221596796212	0:00:38.009732
7100	0.013589675010958414	0:00:38.081643
7120	0.030428622691101078	0:00:38.048238
7140	0.0048815689863528165	0:00:37.989132
7160	0.00929913169629212	0:00:38.079324
7180	0.007209349039914411	0:00:38.100411
7200	0.005967580520722533	0:00:38.050924
7220	0.010684041249294101	0:00:38.403686
7240	0.005188714674385881	0:00:38.769901
7260	0.008579209983185154	0:00:39.100398
7280	0.01035073635424334	0:00:40.336382
7300	0.013062702394191123	0:00:39.461215
7320	0.009942247191734883	0:00:38.544893
7340	0.006446417528482133	0:00:38.074561
7360	0.01331113147884613	0:00:38.020342
7380	0.014077482254927533	0:00:38.037319
7400	0.011627268986276803	0:00:38.019971
7420	0.008967093022657871	0:00:38.011159
7440	0.006496597442184327	0:00:38.011359
7460	0.010871007237571631	0:00:37.976712
7480	0.011620012851709062	0:00:38.024432
7500	0.01910410808826804	0:00:38.036275
7520	0.002840648179505293	0:00:37.994684
7540	0.010735500908693088	0:00:38.009574
7560	0.011163573217989248	0:00:38.025726
7580	0.009080012123210484	0:00:38.046514
7600	0.010172434823230058	0:00:37.998836
7620	0.013684085163753645	0:00:38.017052
7640	0.017752540166722758	0:00:38.003090
7660	0.01093935415543345	0:00:38.022432
7680	0.01938142147225723	0:00:38.024862
7700	0.008337200653427636	0:00:38.062165
7720	0.004962924905818187	0:00:38.037521
7740	0.005359046765028905	0:00:38.039174
7760	0.012634791483842063	0:00:38.084499
7780	0.01592252793125308	0:00:38.050603
7800	0.004708455398705032	0:00:38.039084
7820	0.008754443403572239	0:00:38.026385
7840	0.018118627087912106	0:00:38.076976
7860	0.010199939226989821	0:00:38.049524
7880	0.01777959448896729	0:00:37.979534
7900	0.014809778678877571	0:00:37.994575
7920	0.011697357833430976	0:00:38.046229
7940	0.002481064204538619	0:00:38.029321
7960	0.010890453381527611	0:00:38.015812
7980	0.009394207616864655	0:00:38.024143
6000	0.013485461353107516	0:00:38.042251
6020	0.009233156893390266	0:00:37.963742
6040	0.008879668668350925	0:00:37.945101
6060	0.002918010354981929	0:00:37.953767
6080	0.017639159578564722	0:00:38.079246
6100	0.016467578095639028	0:00:38.068983
6120	0.012576858458583019	0:00:38.051442
6140	0.013657015771500618	0:00:38.000172
6160	0.013221026569572846	0:00:37.963317
6180	0.007987420561167658	0:00:37.985912
6200	0.010771069457728247	0:00:38.063861
6220	0.0056267659010471715	0:00:38.339159
6240	0.00955000325808336	0:00:38.743285
6260	0.0059873128032225525	0:00:39.101396
6280	0.01024206370074	0:00:40.225949
6300	0.012596832587639857	0:00:39.496903
6320	0.00550308436529038	0:00:38.577682
6340	0.010365013297788698	0:00:38.061717
6360	0.004108967687850816	0:00:38.034171
6380	0.01087068805948066	0:00:38.032978
6400	0.012559683117940122	0:00:37.995228
6420	0.008424285672190788	0:00:38.038364
6440	0.0076598400328137285	0:00:38.032370
6460	0.007472718486491026	0:00:38.085779
6480	0.010506564398216307	0:00:38.077842
6500	0.01065457664390618	0:00:38.042794
6520	0.008230545900079734	0:00:38.007167
6540	0.0042904225227835295	0:00:38.051223
6560	0.01313666790221681	0:00:38.079468
6580	0.009581104005032195	0:00:38.057598
6600	0.017804142745279652	0:00:38.062638
6620	0.008428947856841375	0:00:38.068934
6640	0.01377332637569265	0:00:38.074621
6660	0.010355848113561803	0:00:38.049772
6680	0.016561513370664083	0:00:38.059338
6700	0.014455769083994244	0:00:38.089092
6720	0.003719691001812391	0:00:38.061740
6740	0.006852362605391872	0:00:38.038437
6760	0.009848681191491853	0:00:38.045609
6780	0.01206833591094287	0:00:38.090646
6800	0.0055142994759510445	0:00:38.013350
6820	0.027250837134311007	0:00:38.085025
6840	0.014727386395958521	0:00:38.010852
6860	0.006639201578725213	0:00:38.147963
6880	0.02390080674741672	0:00:38.042880
6900	0.022646973606621355	0:00:37.997025
6920	0.0053419687474072905	0:00:38.111158
6940	0.023750221294105346	0:00:38.099850
6960	0.008395613333515848	0:00:38.032930
6980	0.008562942974306773	0:00:38.004651
2000	0.012908060731602382	0:00:38.229869
2020	0.016888945951759	0:00:38.102906
2040	0.006082649681773956	0:00:38.087378
2060	0.011131326647991449	0:00:38.091060
2080	0.012902286330237331	0:00:38.198857
2100	0.006029887106920333	0:00:38.266398
2120	0.00958610782327906	0:00:38.222566
2140	0.01671949112999544	0:00:38.178210
2160	0.008032258291414077	0:00:38.194675
2180	0.0009406675655708738	0:00:38.137350
2200	0.004507111471096809	0:00:38.210035
2220	0.01578374583670729	0:00:38.555247
2240	0.009772179895132172	0:00:38.940501
2260	0.012655304853225953	0:00:40.348107
2280	0.0023033937289080463	0:00:40.573112
2300	0.006776653596612173	0:00:39.750886
2320	0.00811821269257329	0:00:38.716012
2340	0.012348729336412075	0:00:38.240119
2360	0.02186098224702487	0:00:38.225811
2380	0.0043075929056733105	0:00:38.143049
2400	0.009916918530604207	0:00:38.243887
2420	0.012097329498594437	0:00:38.220173
2440	0.012693004263317237	0:00:38.169780
2460	0.007363847701244873	0:00:38.236543
2480	0.008864024258436142	0:00:38.161000
2500	0.011200001443754784	0:00:38.163552
2520	0.017410646864907925	0:00:38.240832
2540	0.012731420834512237	0:00:38.227326
2560	0.008192391700467054	0:00:38.184515
2580	0.019095833190813878	0:00:38.186026
2600	0.006946033573423712	0:00:38.241318
2620	0.006587240209936422	0:00:38.202715
2640	0.017915465697493513	0:00:38.266689
2660	0.0037244512750654237	0:00:38.157744
2680	0.00630412512427317	0:00:38.155359
2700	0.020491779829142368	0:00:38.149183
2720	0.007687031339079342	0:00:38.193958
2740	0.01697825766477682	0:00:38.232945
2760	0.00347761293425652	0:00:38.182034
2780	0.019466095295092335	0:00:38.241583
2800	0.005562046176263194	0:00:38.175393
2820	0.009544868230335055	0:00:38.263466
2840	0.013514682108331452	0:00:38.184729
2860	0.006098790532832587	0:00:38.214660
2880	0.0033872508428860132	0:00:38.202153
2900	0.011909263971756668	0:00:38.220883
2920	0.008408641678882157	0:00:38.181155
2940	0.019972746832306744	0:00:38.258838
2960	0.012558946677057016	0:00:38.180797
2980	0.009046257502538612	0:00:38.109715
4000	0.0058806784756924545	0:00:37.701157
4020	0.02507741011594152	0:00:37.733069
4040	0.014650540746020877	0:00:37.695344
4060	0.008915224005780488	0:00:37.738014
4080	0.014391301624602094	0:00:37.779964
4100	0.015050748463845283	0:00:37.774799
4120	0.020690002237301268	0:00:37.826363
4140	0.013589303171242219	0:00:37.707240
4160	0.01813039712703712	0:00:37.720087
4180	0.0030007548904253814	0:00:37.769279
4200	0.003177057717739024	0:00:37.730038
4220	0.003529927771288673	0:00:38.007352
4240	0.014986137535039202	0:00:38.384100
4260	0.007472344395038701	0:00:38.644101
4280	0.006441107806574753	0:00:39.898173
4300	0.006390402841958572	0:00:39.268333
4320	0.006738154104086725	0:00:38.407121
4340	0.006309548481617745	0:00:37.834161
4360	0.03646896489298507	0:00:37.707996
4380	0.016435034601899323	0:00:37.676690
4400	0.005256952129639211	0:00:37.749672
4420	0.01056319777985712	0:00:37.717718
4440	0.010122655176459862	0:00:37.687763
4460	0.014881527125455415	0:00:37.755041
4480	0.012695055177356633	0:00:37.736321
4500	0.013127756624853316	0:00:37.735410
4520	0.005680462456988863	0:00:37.723447
4540	0.00889612221963208	0:00:37.731718
4560	0.012173698858749454	0:00:37.663125
4580	0.004190368572238401	0:00:37.712685
4600	0.015021191148308887	0:00:37.738097
4620	0.013551259043661662	0:00:37.662209
4640	0.006553519232855943	0:00:37.689150
4660	0.014220607045830254	0:00:37.682046
4680	0.028126189302240624	0:00:37.726981
4700	0.013567222087278397	0:00:37.690047
4720	0.006810462456961814	0:00:37.733758
4740	0.006109634685010638	0:00:37.725013
4760	0.014254621918673946	0:00:37.729007
4780	0.006004015188565182	0:00:37.733514
4800	0.014041776641730107	0:00:37.693663
4820	0.01037859199293931	0:00:37.661500
4840	0.024086024099923303	0:00:37.702827
4860	0.005212101426398133	0:00:37.654113
4880	0.014069648824789446	0:00:37.703101
4900	0.01593244768759071	0:00:37.695720
4920	0.011579946733559993	0:00:37.666398
4940	0.010684562470182327	0:00:37.688253
4960	0.0059518084827309276	0:00:37.702939
4980	0.011137794470699673	0:00:37.662841
5000	0.02237347432883543	0:00:38.523056
5020	0.012508161510393577	0:00:38.672236
5040	0.02147299531725222	0:00:38.532988
5060	0.010451738805088078	0:00:38.427949
5080	0.013667601620458117	0:00:38.526227
5100	0.011556765114563149	0:00:38.620225
5120	0.015239096384288529	0:00:38.528441
5140	0.003681021639826296	0:00:38.494562
5160	0.0054435364600743785	0:00:38.476827
5180	0.01245013364629956	0:00:38.522072
5200	0.006671282576870608	0:00:38.644502
5220	0.007432902756894703	0:00:38.820420
5240	0.01514990430665923	0:00:39.215608
5260	0.0038094736201728916	0:00:39.763736
5280	0.010700313389253702	0:00:40.845811
5300	0.023734889342709196	0:00:39.790316
5320	0.019081210016223187	0:00:38.774999
5340	0.009558820192290377	0:00:38.590348
5360	0.023421584509749634	0:00:38.522593
5380	0.012828042260559213	0:00:38.553475
5400	0.00996245551453964	0:00:38.523058
5420	0.02269104458134047	0:00:38.599392
5440	0.02101778800027148	0:00:38.539687
5460	0.023050032257855603	0:00:38.504219
5480	0.012962513535200641	0:00:38.569824
5500	0.010136333025774519	0:00:38.497475
5520	0.011149047155044674	0:00:38.454612
5540	0.00674983058071693	0:00:38.423238
5560	0.005949890264445061	0:00:38.518346
5580	0.006936817908836878	0:00:38.524391
5600	0.008401347082144031	0:00:38.505867
5620	0.005649413093122132	0:00:38.466247
5640	0.012572522582405463	0:00:38.469625
5660	0.01519870910482373	0:00:38.479147
5680	0.009818453516843262	0:00:38.559511
5700	0.007845403728065994	0:00:38.567030
5720	0.012744229973082161	0:00:38.545665
5740	0.00427269477772362	0:00:38.539349
5760	0.004113127387083664	0:00:38.506068
5780	0.016034534716613813	0:00:38.507962
5800	0.007940735097386	0:00:38.464709
5820	0.013261549739626455	0:00:38.459995
5840	0.005994506125346635	0:00:38.439258
5860	0.010653169842543086	0:00:38.478858
5880	0.007164868672818063	0:00:38.470162
5900	0.004153861106265302	0:00:38.519140
5920	0.014136118759882584	0:00:38.450424
5940	0.009100056297653855	0:00:38.454340
5960	0.012259024555991972	0:00:38.489941
5980	0.016267414967633537	0:00:37.440376
9000	0.011183829160720762	0:00:38.281178
9020	0.019473618231394534	0:00:38.273224
9040	0.0065395411008684415	0:00:38.246433
9060	0.020526552045845404	0:00:38.250644
9080	0.007125490315831357	0:00:38.319168
9100	0.015862106279586664	0:00:38.397375
9120	0.012218462879698595	0:00:38.338828
9140	0.01147076719666016	0:00:38.333000
9160	0.006691672621038643	0:00:38.311937
9180	0.009709397659160096	0:00:38.296430
9200	0.003625620822539315	0:00:38.302467
9220	0.017764786612187944	0:00:38.612535
9240	0.007090082515814406	0:00:38.970796
9260	0.004466546568067	0:00:39.437307
9280	0.01054001663872787	0:00:40.547857
9300	0.01399178843640934	0:00:39.752213
9320	0.008344938016349453	0:00:38.748438
9340	0.027159293745466	0:00:38.326609
9360	0.009762378175296894	0:00:38.290300
9380	0.010732143174703793	0:00:38.263372
9400	0.017971800244252094	0:00:38.297204
9420	0.017161684381194413	0:00:38.344625
9440	0.016688461910937383	0:00:38.332383
9460	0.006582443305866204	0:00:38.291991
9480	0.004208503083253922	0:00:38.306383
9500	0.015174846518901691	0:00:38.339563
9520	0.03876086040741618	0:00:38.329750
9540	0.010579663416660074	0:00:38.307767
9560	0.01151974774583982	0:00:38.304843
9580	0.012794993779926708	0:00:38.336928
9600	0.003758283017906933	0:00:38.300940
9620	0.011298054023036692	0:00:38.340474
9640	0.009631815738208378	0:00:38.338588
9660	0.018424306965783354	0:00:38.357639
9680	0.01253710423764056	0:00:38.297493
9700	0.007925772910197859	0:00:38.316318
9720	0.006375147395634813	0:00:38.367227
9740	0.009674660968609946	0:00:38.367488
9760	0.010736939918180352	0:00:38.273800
9780	0.004455509949472536	0:00:38.256796
9800	0.02662195420208021	0:00:38.374226
9820	0.01075329722313174	0:00:38.338130
9840	0.01462052359524748	0:00:38.290182
9860	0.004371000932921232	0:00:38.313284
9880	0.017085119657558958	0:00:38.332113
9900	0.011401827592892409	0:00:38.327101
9920	0.010316217633046638	0:00:38.303895
9940	0.016413469865357203	0:00:38.344075
9960	0.011245421803660414	0:00:38.307942
9980	0.014124709863054708	0:00:38.046043
