no.	maxl2sqr
1420	0.004570887066654278	0:03:22.039448
1440	0.0026194335091665796	0:03:20.038613
1460	0.007401295126667598	0:03:18.684036
1480	0.013010673704841755	0:03:18.776459
1500	0.008707777594472239	0:03:20.444930
1520	0.002616112171166702	0:03:21.788797
1540	0.004197219745420182	0:03:22.319417
1560	0.009447288712759863	0:03:22.475828
1580	0.006257696704056258	0:03:20.106694
1600	0.0036678766669166734	0:03:21.715470
1620	0.0069167724810441	0:03:21.888392
1640	0.014921460310308438	0:03:21.974501
1660	0.006868156122663531	0:03:23.220436
1680	0.002328900149583392	0:03:22.366945
1700	0.004787117551220953	0:03:22.570869
1720	0.00593902359523193	0:03:21.944224
1740	0.010728377409901272	0:03:23.349422
1760	0.0027138635999603778	0:03:22.974114
1780	0.006260787986004707	0:03:22.312122
1800	0.0038159123286430723	0:03:22.526153
1820	0.0089032298864372	0:03:22.197923
1840	0.004265128047963133	0:03:22.326695
1860	0.0099995533807705	0:03:22.035906
1880	0.006717444013973335	0:03:22.687305
1900	0.0031043778113475267	0:03:23.420082
1920	0.004930005124550501	0:03:22.174451
1940	0.005479985643708184	0:03:22.509306
1960	0.00659723356502597	0:03:22.653532
1980	0.007855226059407574	0:03:22.430588
8000	0.005452254975732599	0:03:21.200238
8020	0.0023742456360472354	0:03:28.277173
8040	0.005064252101027561	0:03:29.525363
8060	0.0043789936024865505	0:03:28.255308
8080	0.0017554943138596917	0:03:28.444654
8100	0.006252183656364098	0:03:30.937981
8120	0.008604705737362252	0:03:33.485759
8140	0.0022853499159825887	0:03:37.715832
8160	0.007182287732064045	0:03:35.654124
8180	0.0023005211287833015	0:03:34.115356
8200	0.004851347528567819	0:03:42.660764
8220	0.004310730756036898	0:03:37.363162
8240	0.005452938058049576	0:03:34.797525
8260	0.007657454365682393	0:03:39.037827
8280	0.006100483306358616	0:03:24.928623
8300	0.004313919351375878	0:03:32.928106
8320	0.0029731354977213585	0:03:31.286617
8340	0.004301421611076915	0:03:24.352724
8360	0.0064882193992214865	0:03:26.264337
8380	0.01185785053496575	0:03:27.732393
8400	0.002920689481904386	0:03:23.141315
8420	0.00526187402877791	0:03:28.898015
8440	0.004718551683877331	0:03:23.145982
8460	0.0020896029260407366	0:03:33.506743
8480	0.002731612153608839	0:03:37.814499
8500	0.002400447630140911	0:03:39.545778
8520	0.008270302624259915	0:03:26.188848
8540	0.002000916133653696	0:03:25.659375
8560	0.0082947449401706	0:03:32.758228
8580	0.008153098348714166	0:03:31.869689
8600	0.004809701141499891	0:03:30.035951
8620	0.0055947899341356995	0:03:32.132631
8640	0.009312426655980609	0:03:29.755063
8660	0.008130370709235392	0:03:27.579700
8680	0.0074551655413085186	0:03:40.816585
8700	0.004359868716718401	0:03:41.121057
8720	0.0020721681906373125	0:03:29.426821
8740	0.003944265202112048	0:04:13.540068
8760	0.007803378977492155	0:03:23.964393
8780	0.0007725881003835652	0:03:23.888976
8800	0.002991430496043441	0:03:33.308579
8820	0.0060456705854496405	0:03:27.526033
8840	0.003643742137971242	0:03:42.534086
8860	0.0037461303034585307	0:03:43.064739
8880	0.004398165046204042	0:03:25.057071
8900	0.0037511293870928697	0:03:38.369945
8920	0.003999388439454094	0:03:29.218486
8940	0.011541740516859238	0:03:29.267257
8960	0.0008316905979233694	0:03:29.955331
8980	0.005611752360670319	0:03:08.664547
6000	0.006009740124026914	0:03:25.933914
6020	0.004303271588680805	0:03:25.604838
6040	0.004654397824190473	0:03:25.797695
6060	0.0017944624093544632	0:03:25.882413
6080	0.00847379774523866	0:03:25.298737
6100	0.00919298750737539	0:03:26.156326
6120	0.005634877373158034	0:03:25.768770
6140	0.0073078810204280035	0:03:25.709075
6160	0.00650831829431193	0:03:25.698382
6180	0.004275327696299886	0:03:25.524191
6200	0.005076777008705847	0:03:25.912027
6220	0.004080409797586566	0:03:25.705227
6240	0.005498300147141784	0:03:25.408055
6260	0.002896242418289826	0:03:25.668029
6280	0.0054148357649484325	0:03:25.738497
6300	0.007350981359455035	0:03:25.925188
6320	0.002738092095083289	0:03:25.837308
6340	0.004970231020254636	0:03:25.785303
6360	0.0023900794574943317	0:03:25.448278
6380	0.004970074033386749	0:03:28.922818
6400	0.007369687158850849	0:03:28.820149
6420	0.005068665707355335	0:03:28.811183
6440	0.004336870099332324	0:03:28.257027
6460	0.004348566970397404	0:03:28.572999
6480	0.0062529966319929305	0:03:28.944201
6500	0.006185799988206727	0:03:28.803162
6520	0.004104022832686399	0:03:25.197094
6540	0.002958877135726837	0:03:24.246110
6560	0.0070193902817649425	0:03:24.366687
6580	0.004763853013400014	0:03:24.235752
6600	0.009784080686149743	0:03:24.744038
6620	0.0046939781468925395	0:03:26.625847
6640	0.006506301036452225	0:03:27.171694
6660	0.005407064033659796	0:03:26.060585
6680	0.008637447964085072	0:03:26.581645
6700	0.006604388847957457	0:03:28.212076
6720	0.0022797600977581814	0:03:28.672015
6740	0.0029736831391023065	0:03:28.804420
6760	0.005190281447122334	0:03:28.139093
6780	0.005827802456082743	0:03:28.458728
6800	0.002585798769393956	0:03:26.143008
6820	0.012871965302776088	0:03:25.496146
6840	0.006503614084579013	0:03:25.502933
6860	0.003946123865352571	0:03:25.440404
6880	0.010068110064740598	0:03:29.614622
6900	0.01228445909764758	0:03:28.196853
6920	0.0031828166171559685	0:03:28.390043
6940	0.010106433287915866	0:03:29.544024
6960	0.004826427213267408	0:03:29.356536
6980	0.004618805640925318	0:03:28.227036
9000	0.005576555581852643	0:03:26.079582
9020	0.011029023567170726	0:03:27.563040
9040	0.0034110291764127567	0:03:27.604087
9060	0.009193039589766923	0:03:27.442405
9080	0.004452497950265367	0:03:28.222354
9100	0.007035076754985963	0:03:28.403339
9120	0.005656874380732006	0:03:28.069143
9140	0.005201165062189442	0:03:26.954475
9160	0.004060894007857609	0:03:28.728466
9180	0.005766149992617349	0:03:28.970724
9200	0.0021503230898409897	0:03:29.397669
9220	0.007941168951868001	0:03:28.453105
9240	0.004357230927614619	0:03:29.919886
9260	0.0030794919505576597	0:03:28.540668
9280	0.004691951465219127	0:03:28.768677
9300	0.006441015410758189	0:03:27.873421
9320	0.0046089569580405245	0:03:28.136220
9340	0.013157329263649955	0:03:26.621683
9360	0.005524454640649359	0:03:24.934020
9380	0.004849382493180477	0:03:25.325618
9400	0.009444093538193914	0:03:25.068008
9420	0.008329377813267399	0:03:25.503109
9440	0.008208587186652894	0:03:25.263221
9460	0.002995083049893786	0:03:25.215671
9480	0.002476042840158957	0:03:25.965817
9500	0.007181839214580384	0:03:24.825364
9520	0.016532523564810584	0:03:25.349657
9540	0.004903526496643594	0:03:25.943453
9560	0.005505635656268574	0:03:25.252438
9580	0.005809947389500839	0:03:25.540795
9600	0.0021415325893367155	0:03:26.663691
9620	0.00559044950918467	0:03:28.722373
9640	0.005883285155125486	0:03:28.196103
9660	0.00824502934154437	0:03:27.174325
9680	0.0062554911214116	0:03:27.511524
9700	0.005038399076864772	0:03:28.963802
9720	0.003458136922980994	0:03:25.049289
9740	0.004560227617284363	0:03:24.352693
9760	0.0046829213653998315	0:03:24.649920
9780	0.002294639343410897	0:03:24.976867
9800	0.011794634169248957	0:03:24.683930
9820	0.005467571705255168	0:03:24.863647
9840	0.006318542510239142	0:03:25.253644
9860	0.002260748201617484	0:03:24.900570
9880	0.008054850187444826	0:03:29.614348
9900	0.006813203019082852	0:03:26.905890
9920	0.005776663640062825	0:03:30.152252
9940	0.008180511518042137	0:03:27.881715
9960	0.00683511034888312	0:03:28.904309
9980	0.007609978886653278	0:03:28.306710
7000	0.0025186494985982317	0:03:24.007230
7020	0.009671318625992522	0:03:24.654232
7040	0.00374521073194237	0:03:24.259817
7060	0.004475483288100678	0:03:25.287200
7080	0.002293838844148924	0:03:24.047242
7100	0.006103088824400226	0:03:23.550828
7120	0.013867796839951239	0:03:23.666659
7140	0.0024075589619640533	0:03:23.825037
7160	0.004275000028068514	0:03:24.404179
7180	0.004396855415241367	0:03:23.229336
7200	0.0037726561313347904	0:03:21.396979
7220	0.005158385072589448	0:03:21.673860
7240	0.0025328950747663093	0:03:24.738273
7260	0.004834612921136342	0:03:24.260701
7280	0.004838086548228366	0:03:22.536241
7300	0.00670252629288097	0:03:23.118108
7320	0.006328675691947471	0:03:23.747642
7340	0.003607586080852054	0:03:24.406218
7360	0.0069281350960533035	0:03:24.471086
7380	0.006925417243227424	0:03:23.680777
7400	0.005301961600238046	0:03:24.352050
7420	0.005318974812728139	0:03:24.316443
7440	0.0037800270645910673	0:03:23.512568
7460	0.0049484320166965625	0:03:24.390709
7480	0.0067338331259419	0:03:23.933307
7500	0.008799325384151374	0:03:23.787295
7520	0.0014435335141913651	0:03:24.105866
7540	0.005500412483998732	0:03:24.135715
7560	0.005118705044858705	0:03:23.922823
7580	0.004779799115532151	0:03:24.249992
7600	0.005169840317943694	0:03:23.969100
7620	0.00705626669688785	0:03:23.237381
7640	0.008675791674418464	0:03:21.104616
7660	0.0050789465182683605	0:03:22.336405
7680	0.008679151340950063	0:03:21.874827
7700	0.004109178948347951	0:03:22.180795
7720	0.0036215743124539375	0:03:22.035497
7740	0.0029641384074012202	0:03:22.043191
7760	0.005946180704152426	0:03:21.757765
7780	0.008939861634650322	0:03:23.201748
7800	0.0030775752153287934	0:03:23.502771
7820	0.004069763719910394	0:03:23.651844
7840	0.009610253606725086	0:03:24.635782
7860	0.006394670180562786	0:03:24.414445
7880	0.008114473649974694	0:03:24.384652
7900	0.006937813885146208	0:03:21.611124
7920	0.0060144852793246086	0:03:21.424093
7940	0.001356475764242577	0:03:23.221569
7960	0.005961599164901654	0:03:23.543369
7980	0.004415800529560815	0:03:23.477902
5000	0.011324282191791293	0:03:26.793450
5020	0.007545764276845492	0:03:26.210940
5040	0.009483985459298004	0:03:24.626575
5060	0.005581789983095723	0:03:24.476885
5080	0.007730085234514919	0:03:23.189925
5100	0.005728171987073172	0:03:24.254375
5120	0.007969746349034988	0:03:22.796642
5140	0.0018319571745116312	0:03:23.029422
5160	0.0032115278508404437	0:03:23.417542
5180	0.005789271638707397	0:03:23.419362
5200	0.003920092130828131	0:03:23.527700
5220	0.004896280814971713	0:03:23.708379
5240	0.006755738432507095	0:03:23.806989
5260	0.0018852071160025369	0:03:24.186328
5280	0.006046431020841321	0:03:24.145417
5300	0.010368307446114083	0:03:23.990287
5320	0.010079248350809027	0:03:24.155651
5340	0.005132248525784952	0:03:24.344328
5360	0.010330454958413898	0:03:24.359411
5380	0.006014351322393161	0:03:24.056353
5400	0.00614743019564573	0:03:24.049508
5420	0.010101149918725844	0:03:24.364112
5440	0.009900453112237664	0:03:23.868919
5460	0.01074029174520989	0:03:23.930907
5480	0.006983298004734365	0:03:23.367321
5500	0.00526797952721124	0:03:23.677541
5520	0.006523919406168459	0:03:24.969260
5540	0.0035203387418290583	0:03:27.370327
5560	0.0034079841502757395	0:03:26.932962
5580	0.003155037713835459	0:03:26.700890
5600	0.004101179366144641	0:03:27.628498
5620	0.0031271532296548066	0:03:24.514125
5640	0.005934678947853218	0:03:26.893430
5660	0.007481693318669349	0:03:28.317422
5680	0.004994849446964669	0:03:26.292381
5700	0.004074799643261014	0:03:23.409869
5720	0.006934157380834256	0:03:25.021887
5740	0.0025872053245424983	0:03:26.309354
5760	0.0023210726523926178	0:03:27.483280
5780	0.007405194310326529	0:03:28.424546
5800	0.004274549548237609	0:03:27.604532
5820	0.005751218768833282	0:03:27.586437
5840	0.0032204144265154657	0:03:27.705112
5860	0.00581527011698604	0:03:27.540012
5880	0.003824276136159999	0:03:30.741665
5900	0.0025638865019863887	0:03:26.563324
5920	0.007929065189832954	0:03:28.461730
5940	0.004213550315088153	0:03:28.089358
5960	0.005881457265769809	0:03:25.710455
5980	0.007769961963356543	0:03:27.487652
0	0.005600296167603984	0:03:21.705143
20	0.008494561209053928	0:03:23.191325
40	0.00931398849211795	0:03:33.143218
60	0.006966848067076025	0:03:29.670743
80	0.0037928393203345103	0:03:23.288007
100	0.0025629837036650394	0:03:31.465450
120	0.003313269249464659	0:03:31.667443
140	0.003274305415288313	0:03:26.942041
160	0.004125673308424671	0:03:23.153748
180	0.006883184872504961	0:03:34.006605
200	0.006077724713751077	0:03:27.840250
220	0.005772902896529998	0:03:36.292438
240	0.007037014418365329	0:03:44.949839
260	0.007610437367575399	0:03:23.291992
280	0.008261941963262208	0:03:29.886309
300	0.005738644385622096	0:03:39.237337
320	0.0023637956609810513	0:03:35.666586
340	0.006998421225274116	0:03:35.806752
360	0.0036245665081797744	0:03:29.732866
380	0.0050792341170752655	0:03:48.678031
400	0.008432690731469053	0:03:21.048145
420	0.0016682866096172347	0:03:24.851451
440	0.007486336858510966	0:03:29.807601
460	0.0071292478844016995	0:03:24.510835
480	0.007334589544358932	0:03:24.196287
500	0.006350216389709186	0:03:24.422127
520	0.006237529703629397	0:03:26.307639
540	0.011440233114469317	0:03:38.624553
560	0.006173263307566441	0:03:27.760343
580	0.002984029631351226	0:03:27.804066
600	0.005995868596453546	0:03:27.584594
620	0.005253554490406876	0:03:25.149526
640	0.0034917537051018617	0:03:30.316200
660	0.005205229090112052	0:03:26.733054
680	0.007270635157927147	0:03:28.882207
700	0.006706477248828004	0:03:37.605851
720	0.0038371189439167356	0:03:21.184094
740	0.00800372637237162	0:03:21.075432
760	0.007824208301107664	0:03:23.734375
780	0.009358243583602184	0:03:33.600567
800	0.0058123720526406224	0:03:44.214181
820	0.004969794207311832	0:03:30.942870
840	0.008819967022570034	0:03:33.468997
860	0.0017746131527123703	0:03:33.099453
880	0.0028519700612753733	0:03:35.545143
900	0.0019328014169468191	0:03:34.944485
920	0.005748239460768122	0:03:40.447929
940	0.01047343499224908	0:03:33.253438
960	0.008887337570698952	0:03:26.713976
980	0.002120012089364676	0:03:29.046381
4000	0.0032397890993944986	0:04:42.606426
4020	0.010325236959345868	0:03:40.986207
4040	0.007492438709285915	0:03:33.408888
4060	0.0044591244417221424	0:03:40.690879
4080	0.006477705805089485	0:03:28.277843
4100	0.007980224183642233	0:03:45.201327
4120	0.009426025752978016	0:03:32.426759
4140	0.0065253702052872195	0:03:39.999251
4160	0.008245510083617848	0:03:33.136570
4180	0.0019219852417990085	0:03:37.620445
4200	0.0019186115152635755	0:03:29.636567
4220	0.0022013523346110985	0:03:30.585298
4240	0.006925895003939752	0:03:37.783369
4260	0.0035626045294332134	0:03:31.087354
4280	0.0036730584348152154	0:03:31.146335
4300	0.00329131308917098	0:03:33.417997
4320	0.003989175656364379	0:03:33.537600
4340	0.003778485760337593	0:03:37.957850
4360	0.01544070669955069	0:03:35.435063
4380	0.00734458756121569	0:03:31.892841
4400	0.002643906428405887	0:03:30.270335
4420	0.005445349212799495	0:03:39.789074
4440	0.004661996773025947	0:03:41.062289
4460	0.008360578714798457	0:03:35.282589
4480	0.005611761489755489	0:03:31.893495
4500	0.005646724599976331	0:03:38.361786
4520	0.0025969885412465143	0:03:28.852630
4540	0.004160155649740378	0:03:30.859928
4560	0.006601031435552931	0:03:42.314822
4580	0.0024666075142442717	0:03:33.761981
4600	0.008335847477008692	0:03:46.774438
4620	0.006299257368588434	0:03:41.697770
4640	0.004036795428187573	0:03:41.521630
