no.	maxl2sqr
7000	0.012429703037354979	0:00:08.001808
7020	0.02562707884908263	0:00:08.010216
7040	0.04280760492110198	0:00:08.318793
7060	0.029938947702212858	0:00:09.015513
7080	0.029921294111491165	0:00:09.017972
7100	0.02804537443873173	0:00:09.218960
7120	0.0344899887785653	0:00:09.218089
7140	0.026664655065336728	0:00:09.224796
7160	0.02633352321713437	0:00:09.225709
7180	0.0214298383142427	0:00:09.221692
7200	0.03373908895936234	0:00:09.222183
7220	0.03791646047815734	0:00:09.224216
7240	0.020148062795263228	0:00:09.220088
7260	0.02857016154570905	0:00:09.156275
7280	0.009663562718270968	0:00:09.008772
7300	0.020364816278379116	0:00:09.004447
7320	0.023099076273726232	0:00:09.002425
7340	0.011079712263294616	0:00:09.010123
7360	0.021131273272014275	0:00:09.021966
7380	0.018981281625513702	0:00:09.013230
7400	0.02594497296240482	0:00:09.011131
7420	0.0373823955406876	0:00:09.009010
7440	0.030020828943244898	0:00:09.017089
7460	0.02314144498966369	0:00:09.021131
7480	0.01719863793277205	0:00:09.022831
7500	0.02697823141097711	0:00:09.014786
7520	0.022540445308551253	0:00:09.007829
7540	0.03343474987653657	0:00:09.017772
7560	0.0189241196659234	0:00:09.008783
7580	0.02742420394892407	0:00:09.012989
7600	0.016404426828093944	0:00:09.019117
7620	0.028185198743273382	0:00:09.022050
7640	0.020414121763017996	0:00:09.022469
7660	0.03466007848790841	0:00:09.020820
7680	0.021439497415713615	0:00:09.019394
7700	0.022404587877488055	0:00:09.019445
7720	0.029920474805266578	0:00:09.018092
7740	0.03329712719236617	0:00:09.029827
7760	0.02219765942262356	0:00:09.024589
7780	0.04312383344231602	0:00:09.019864
7800	0.03926257311632051	0:00:09.019734
7820	0.03433891830899213	0:00:09.025803
7840	0.02760019042362344	0:00:08.806809
7860	0.031257790953253234	0:00:08.297182
7880	0.02465422532009418	0:00:08.237423
7900	0.019556723527269792	0:00:08.053955
7920	0.020331752295396806	0:00:08.005692
7940	0.02347749257271555	0:00:07.991930
7960	0.02420007077837928	0:00:07.993057
7980	0.013723798768833988	0:00:07.993208
6000	0.017383902389597063	0:00:08.088772
6020	0.013752966813084338	0:00:08.089702
6040	0.028291042121760573	0:00:08.432370
6060	0.01100316069028935	0:00:09.145594
6080	0.04581315452029108	0:00:09.144153
6100	0.028355145780884584	0:00:09.354762
6120	0.02750562612596793	0:00:09.345886
6140	0.0405728248911398	0:00:09.352085
