no.	maxl2sqr
5000	0.2857119473307167	0:00:07.113109
5020	0.20755736957076637	0:00:07.114481
5040	0.09585294913717737	0:00:07.160751
5060	0.18866736159016917	0:00:07.282837
5080	0.22638504709463983	0:00:07.297931
5100	0.1856264965396384	0:00:07.280499
5120	0.2061117872412061	0:00:07.285553
5140	0.2656605149340771	0:00:07.270131
5160	0.2531862947546632	0:00:07.283035
5180	0.13137928582799768	0:00:07.279661
5200	0.12271647568435161	0:00:07.282547
5220	0.20198668801246483	0:00:07.280089
5240	0.10103327517549637	0:00:07.285439
5260	0.1523918769644922	0:00:07.227518
5280	0.3576018928180707	0:00:07.094596
5300	0.13458605426601514	0:00:07.100308
5320	0.32318573994724115	0:00:07.111919
5340	0.34558541463848824	0:00:07.103076
5360	0.13457605668487668	0:00:07.102169
5380	0.12984679670617383	0:00:07.105908
5400	0.251599529572592	0:00:07.113252
5420	0.312516620559564	0:00:07.104822
5440	0.14352717774288404	0:00:07.100071
5460	0.05266469602888163	0:00:07.095123
5480	0.20052996119966487	0:00:07.107614
5500	0.14381815992845853	0:00:07.108045
5520	0.06613175359290943	0:00:07.111138
5540	0.1385165974050097	0:00:07.110443
5560	0.15361356406743892	0:00:07.104805
5580	0.20410090911661946	0:00:07.096716
5600	0.10231912784665073	0:00:07.112724
5620	0.18201816995203296	0:00:07.104394
5640	0.19467777555057242	0:00:07.108308
5660	0.16192822038380422	0:00:07.100325
5680	0.2642119990185695	0:00:07.109449
5700	0.24577735168855291	0:00:07.108673
5720	0.04622411639637158	0:00:07.113382
5740	0.3169505754846989	0:00:07.117167
5760	0.3215469203211142	0:00:07.111969
5780	0.20111022156278124	0:00:07.105256
5800	0.30121883599875726	0:00:07.109724
5820	0.23515031091395588	0:00:07.109310
5840	0.2595375742482723	0:00:07.120424
5860	0.3450280895809486	0:00:07.120940
5880	0.054716471445860615	0:00:07.118214
5900	0.1568201564990945	0:00:07.116134
5920	0.16953831526706653	0:00:07.109536
5940	0.28041752900759875	0:00:07.112261
5960	0.28573755593466454	0:00:07.119454
5980	0.331192348034695	0:00:07.111181
9000	0.15408121438323702	0:00:07.203214
9020	0.20507531903536175	0:00:07.198321
9040	0.22988996240400023	0:00:07.253691
9060	0.4568918938176789	0:00:07.376288
9080	0.3847349094299274	0:00:07.375308
9100	0.26655903016656113	0:00:07.364268
9120	0.06297042858473247	0:00:07.366283
9140	0.07142432391613178	0:00:07.353731
9160	0.23122494313860847	0:00:07.354761
9180	0.0980634265799471	0:00:07.355221
9200	0.09754955772824955	0:00:07.351002
9220	0.4241436688260155	0:00:07.356333
9240	0.25248678435472105	0:00:07.361433
9260	0.16953482562953615	0:00:07.271083
9280	0.3517108729374393	0:00:07.181854
9300	0.15350446108122165	0:00:07.179729
9320	0.10155804559796827	0:00:07.185666
9340	0.1211190592486466	0:00:07.179984
9360	0.2320859029376826	0:00:07.183174
9380	0.26471100411154963	0:00:07.185514
9400	0.2388354264597355	0:00:07.191294
9420	0.22513933319536192	0:00:07.181360
9440	0.48952795392390425	0:00:07.179369
9460	0.30764910483606756	0:00:07.169618
9480	0.30637348243301027	0:00:07.183853
9500	0.2371488145442127	0:00:07.187500
9520	0.05198037576500326	0:00:07.206230
9540	0.07949765721927762	0:00:07.187825
9560	0.12361328361228288	0:00:07.187155
9580	0.14535251816093803	0:00:07.170003
9600	0.13869847399277807	0:00:07.188538
9620	0.11866963900618799	0:00:07.189518
9640	0.16500330287509007	0:00:07.182700
9660	0.21558375972024527	0:00:07.182849
9680	0.22389517767490447	0:00:07.188729
9700	0.07192699273763817	0:00:07.199921
9720	0.31910763258490027	0:00:07.197572
9740	0.15732813820106156	0:00:07.182102
9760	0.047238725411683294	0:00:07.193611
9780	0.15999541216629415	0:00:07.191432
9800	0.2670362123796536	0:00:07.192084
9820	0.26307451214762756	0:00:07.188370
9840	0.23833917040901875	0:00:07.195468
9860	0.34885075982093083	0:00:07.199726
9880	0.19105488657070538	0:00:07.202669
9900	0.14965596054369784	0:00:07.188202
9920	0.15726333828149508	0:00:07.188934
9940	0.30228719282505634	0:00:07.192147
9960	0.14992744562209928	0:00:07.196285
9980	0.36402498633614233	0:00:07.167458
8000	0.2033023787356956	0:00:07.102906
8020	0.15990301017472966	0:00:07.100505
8040	0.2278397163800177	0:00:07.139951
8060	0.22971549596427743	0:00:07.281917
8080	0.2381393185711601	0:00:07.273927
8100	0.09749732678880606	0:00:07.266177
8120	0.2940196140861603	0:00:07.263300
8140	0.4076201297141508	0:00:07.262464
8160	0.25118051880005954	0:00:07.253334
8180	0.24752462177548165	0:00:07.262083
8200	0.30777571789791025	0:00:07.256337
8220	0.10780888210677737	0:00:07.260862
8240	0.30044441121546156	0:00:07.258806
8260	0.3367367602208051	0:00:07.222258
8280	0.12825300808680523	0:00:07.083136
8300	0.29283122337322554	0:00:07.083281
8320	0.19281273714319677	0:00:07.097552
8340	0.08736095963379938	0:00:07.094376
8360	0.10330614827821466	0:00:07.090586
8380	0.20327821057825418	0:00:07.100075
8400	0.19920661022853847	0:00:07.087307
8420	0.0636347016307218	0:00:07.091625
8440	0.19451103423861876	0:00:07.088503
8460	0.3082971344689706	0:00:07.085792
8480	0.17190151337135476	0:00:07.087250
8500	0.20771854956733332	0:00:07.102765
8520	0.1339116645691539	0:00:07.103095
8540	0.06960570413339434	0:00:07.108823
8560	0.4142554310243841	0:00:07.096344
8580	0.23243577602437998	0:00:07.086628
8600	0.07024759322508782	0:00:07.092638
8620	0.1430967369755913	0:00:07.096766
8640	0.13647384855756792	0:00:07.093038
8660	0.35196633497065377	0:00:07.090782
8680	0.13688445053382242	0:00:07.101111
8700	0.11234196945569186	0:00:07.104604
8720	0.07813824269678639	0:00:07.089414
8740	0.05907283200209125	0:00:07.100783
8760	0.256013190144331	0:00:07.094090
8780	0.27956025994291844	0:00:07.098202
8800	0.2460157984644584	0:00:07.092461
8820	0.2597551489962294	0:00:07.096070
8840	0.27626728069958845	0:00:07.103589
8860	0.2798926250244095	0:00:07.098877
8880	0.25071374417427866	0:00:07.101710
8900	0.14362352507781934	0:00:07.103754
8920	0.21837876330847192	0:00:07.099989
8940	0.2471141979247373	0:00:07.104741
8960	0.1487799710377256	0:00:07.103160
8980	0.08428561720029107	0:00:07.110279
7000	0.04429268201149862	0:00:07.431566
7020	0.22261463427057723	0:00:07.439317
7040	0.3967154269305654	0:00:07.513646
7060	0.18388785521951978	0:00:07.619540
7080	0.1918658654303611	0:00:07.620193
7100	0.1840041263532812	0:00:07.618289
7120	0.1858839255285124	0:00:07.614318
7140	0.20366094954808098	0:00:07.615770
7160	0.18408077421445312	0:00:07.616829
7180	0.16069551443684532	0:00:07.619087
7200	0.23228324495298167	0:00:07.610474
7220	0.2593397704120009	0:00:07.621933
7240	0.12146895626030425	0:00:07.604404
7260	0.2041895646457445	0:00:07.449792
7280	0.05028173102465089	0:00:07.430161
7300	0.14789889068181597	0:00:07.443418
7320	0.17766162494203827	0:00:07.437424
7340	0.044075448046262136	0:00:07.438981
7360	0.13887749948535105	0:00:07.449042
7380	0.12277847272070702	0:00:07.445893
7400	0.1340771987488632	0:00:07.430086
7420	0.24618822004776264	0:00:07.424104
7440	0.2232221011062891	0:00:07.430622
7460	0.17300207795765332	0:00:07.443783
7480	0.08267452249513454	0:00:07.441597
