no.	maxl2sqr
3000	0.004184994042810593	0:01:38.922208
3020	0.008394820290348314	0:01:38.737990
3040	0.0023272199257067857	0:01:38.897263
3060	0.0019188017808393636	0:01:39.193831
3080	0.005226859497111215	0:01:39.220428
3100	0.006322081964865064	0:01:39.055986
3120	0.008009815023651062	0:01:39.122414
3140	0.005425956697848661	0:01:39.135343
3160	0.00320486922250098	0:01:39.278350
3180	0.0060408168675052856	0:01:39.230521
3200	0.004623429519331269	0:01:39.159693
3220	0.006071835664611869	0:01:39.248824
3240	0.004366375194516565	0:01:38.945639
3260	0.005980585687153784	0:01:40.557750
3280	0.004743058820047044	0:01:40.182272
3300	0.007395008518458687	0:01:39.006926
3320	0.0013701466154834093	0:01:38.990006
3340	0.004885043999020688	0:01:39.346734
3360	0.00272714331145695	0:01:38.839296
3380	0.0013256241510867352	0:01:38.891634
3400	0.003572999579158397	0:01:37.732740
3420	0.0013963733299230184	0:01:37.500179
3440	0.006273979509074687	0:01:37.683643
3460	0.004852987482771517	0:01:37.610505
3480	0.0018879305937582814	0:01:37.571993
3500	0.004770933668632785	0:01:37.120327
3520	0.003192054693415204	0:01:37.222985
3540	0.005514466274764717	0:01:37.337048
3560	0.003750983847076447	0:01:37.047572
3580	0.0024120219293254663	0:01:37.092106
3600	0.005231501785825182	0:01:37.262915
3620	0.006559427849684737	0:01:37.150826
3640	0.005467809734141067	0:01:37.188373
3660	0.007801321501864648	0:01:37.147888
3680	0.0069477107213213206	0:01:37.126301
3700	0.0030830095280914528	0:01:38.290452
3720	0.0035263771364546664	0:01:38.908069
3740	0.007221455683889243	0:01:38.689843
3760	0.0028913449395930367	0:01:38.884419
3780	0.003904887406166296	0:01:38.695177
3800	0.002655253559920395	0:01:38.479671
3820	0.0074452643660913136	0:01:38.432728
3840	0.005105098013754392	0:01:38.608261
3860	0.0058022690795089624	0:01:38.455867
3880	0.0034779553629106425	0:01:38.746023
3900	0.0015207878258734374	0:01:38.561200
3920	0.0027177327065281563	0:01:37.850668
3940	0.007496835947727808	0:01:37.424341
3960	0.0042842357051717265	0:01:37.350140
3980	0.007814783420043502	0:01:37.362854
1000	0.002528301527881264	0:01:39.412581
1020	0.005256352455510934	0:01:39.667527
1040	0.0010309287818048853	0:01:39.820939
1060	0.005227654986536585	0:01:50.410138
1080	0.0025511010821956974	0:01:40.475338
1100	0.0028318764590210795	0:01:43.470839
1120	0.004508126264610534	0:01:46.833430
1140	0.0036375069586884125	0:02:08.617933
1160	0.003186423908038454	0:01:43.227806
1180	0.0015769237884937872	0:01:40.977456
1200	0.004209023543333427	0:01:39.829539
1220	0.009502290552250494	0:01:39.761831
1240	0.0024158554229322775	0:01:39.939234
1260	0.0017973813035043569	0:01:47.676824
1280	0.0011545816719086336	0:02:05.918708
1300	0.0032814786844994276	0:02:00.472345
1320	0.003150773864890806	0:01:39.526495
1340	0.006553802662560224	0:01:48.966988
1360	0.0011610393604627135	0:01:40.053632
1380	0.003956301584812641	0:01:51.106286
1400	0.0027314118884592185	0:01:57.994931
1420	0.004225186457913372	0:01:49.819806
1440	0.0028134994283332427	0:01:44.579868
1460	0.006293679526169165	0:01:48.345974
1480	0.004809231831204005	0:01:58.536289
1500	0.0022387475732072505	0:01:45.485516
1520	0.0033587181382046683	0:01:49.601582
1540	0.0032082875781154416	0:01:40.210950
1560	0.004261544502379476	0:01:46.823246
1580	0.002428744029632248	0:01:43.683898
1600	0.005543712374238834	0:01:40.949278
1620	0.004459910739973746	0:01:40.193846
1640	0.006080552480607591	0:01:40.941763
1660	0.0024997700047788077	0:01:43.371252
1680	0.0028281085972675407	0:01:40.008273
1700	0.007949096911101678	0:01:46.676011
1720	0.00500663361413203	0:01:45.526375
1740	0.004964411188353019	0:01:41.883547
1760	0.0014240111094285803	0:01:46.330776
1780	0.0013078978332495936	0:01:53.577429
1800	0.0037890384937420874	0:02:05.923167
1820	0.002091169622797941	0:02:00.031522
1840	0.006700484967403251	0:01:51.738966
1860	0.004293713264242012	0:01:40.240162
1880	0.005022856576341006	0:01:52.645224
1900	0.0029066820411634896	0:01:53.314646
1920	0.0025056187676026887	0:01:40.341391
1940	0.002804635084374111	0:01:59.333049
1960	0.005788796075104844	0:01:40.908181
1980	0.003677984301410122	0:01:40.431054
5000	0.0054626733043249874	0:02:03.660387
5020	0.004159158472158352	0:01:40.755280
5040	0.0024917717507339093	0:01:41.007716
5060	0.004053449088396238	0:01:51.316665
5080	0.0046320774156662576	0:01:52.605426
5100	0.00405353867927871	0:01:43.406938
5120	0.004605107068124022	0:01:40.662331
5140	0.005453551676401814	0:01:40.772030
5160	0.00496719451243618	0:01:41.762971
5180	0.002852647975119584	0:02:02.953089
5200	0.002927703365101283	0:02:16.769553
5220	0.004275261533399864	0:02:12.044345
5240	0.002441819484082396	0:01:58.597001
5260	0.0038863209503103317	0:01:42.143862
5280	0.006502106864142218	0:01:40.957336
5300	0.0033390157563000537	0:01:53.531418
5320	0.0061072210300619455	0:01:44.310507
5340	0.00688547261792867	0:01:42.002936
5360	0.003250616931106021	0:01:43.085419
5380	0.0031176005284696837	0:01:45.040025
5400	0.005038812428103584	0:01:42.748942
5420	0.006202989379536223	0:01:43.698361
5440	0.0035057506916553083	0:01:43.266625
5460	0.0016282830046956004	0:01:44.851372
5480	0.004354561208400281	0:01:41.227597
5500	0.0038379164668395638	0:01:41.477155
5520	0.0014990590290982929	0:01:41.328293
5540	0.0029642917416628756	0:01:46.801553
5560	0.0033437595027563877	0:01:43.315515
5580	0.003957266682949506	0:01:46.407068
5600	0.0022985738051257473	0:01:50.624130
5620	0.0036443660096138197	0:01:41.042307
5640	0.0038030747114690946	0:01:41.374216
5660	0.003436047605014043	0:01:43.480711
5680	0.0055503165525049225	0:01:56.742352
5700	0.004509737556381933	0:01:42.158133
5720	0.0017082384422548963	0:01:40.989683
5740	0.005991019857281594	0:01:41.130827
5760	0.005997346921394935	0:01:42.789396
5780	0.004072041521659057	0:01:42.541722
5800	0.005597597395640797	0:01:41.507625
5820	0.004881103500099912	0:01:43.629185
5840	0.00557431160009073	0:01:43.023221
5860	0.00624234601264107	0:01:43.366005
5880	0.0015327941788000963	0:01:45.952203
5900	0.0038563174035629883	0:01:40.799859
5920	0.0034361549139460576	0:01:44.763131
5940	0.005390854587201518	0:01:40.402172
5960	0.005557360381694935	0:01:41.245618
5980	0.006111934075132093	0:01:40.783384
4000	0.005294548596936619	0:01:48.725704
4020	0.005374473845102128	0:01:48.177947
4040	0.0038720101709082445	0:01:47.999314
4060	0.003928010687022668	0:01:47.851289
4080	0.005577217232910243	0:01:47.637415
4100	0.006741782259104951	0:01:48.073109
4120	0.006622563975202391	0:01:47.869313
4140	0.007576987325367257	0:01:48.192352
4160	0.004973590915100047	0:01:48.311706
4180	0.005327521502227078	0:01:47.862684
4200	0.003203685604538684	0:01:48.136889
4220	0.005225810154366071	0:01:48.200962
4240	0.0035654134789651786	0:01:47.901979
4260	0.004031637268458065	0:01:48.243886
4280	0.002511634141439888	0:01:46.936060
4300	0.0033521328173614397	0:01:46.674989
4320	0.007427966386643101	0:01:46.408211
4340	0.00554266267071682	0:01:46.251629
4360	0.004295815322072667	0:01:46.488640
4380	0.004405697205001574	0:01:46.736041
4400	0.0020876522099211917	0:01:46.384105
4420	0.0063772203553926834	0:01:46.476257
4440	0.005526807965240648	0:01:46.441232
4460	0.003443948607053103	0:01:45.862795
4480	0.00469576925261137	0:01:47.799681
4500	0.0016844876391790087	0:01:47.818594
4520	0.0038984036327125047	0:01:47.849526
4540	0.004256490536406127	0:01:48.344016
4560	0.005433759385622568	0:01:47.679270
4580	0.0017337069630842298	0:01:48.134263
4600	0.0052678635481452196	0:01:47.932641
4620	0.00437178658740516	0:01:47.971808
4640	0.003816476754355369	0:01:48.261458
4660	0.002564444823443298	0:01:47.883636
4680	0.004286064646172852	0:01:47.980004
4700	0.0033907072235565485	0:01:48.744764
4720	0.006290157383923737	0:01:48.110438
4740	0.003008356864893738	0:01:47.873355
4760	0.0020664004387635484	0:01:48.175137
4780	0.006535647621617291	0:01:46.336088
4800	0.0033650719445116628	0:01:45.781977
4820	0.005189728946128468	0:01:45.473676
4840	0.0026068064668189044	0:01:45.524769
4860	0.0040551162766504	0:01:45.593694
4880	0.007457006761095257	0:01:46.252539
4900	0.0035544219899048884	0:01:45.677997
4920	0.007535217491261901	0:01:45.661227
4940	0.00835334540189828	0:01:44.992261
4960	0.0053428280116940546	0:01:44.803382
4980	0.004866295823355227	0:01:44.897764
2000	0.0029456433376180897	0:01:44.362906
2020	0.005701348635878154	0:01:44.379562
2040	0.005157943552353137	0:01:45.323617
2060	0.005799334321722968	0:01:45.474792
2080	0.005161923691248139	0:01:47.161619
2100	0.005482697974899688	0:01:48.809617
